time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-23T12:38:19.695Z,53.1915,-166.7438,35,3.4,ml,,205,0.608,0.55,us,us7000gkjy,2022-04-09T20:18:53.040Z,"77 km S of Unalaska, Alaska",earthquake,4.5,2,0.105,12,reviewed,us,us
2022-01-23T11:58:41.728Z,54.653,-160.5997,26.79,3.1,ml,,187,0.612,0.51,us,us7000gkjx,2022-04-09T20:18:53.040Z,"76 km S of Sand Point, Alaska",earthquake,3.6,8.9,0.085,18,reviewed,us,us
2022-01-23T11:34:36.928Z,54.473,-159.7679,21.29,2.8,ml,,240,0.373,0.75,us,us7000gkkd,2022-04-09T20:18:53.040Z,"106 km SSE of Sand Point, Alaska",earthquake,3,11.7,0.128,8,reviewed,us,us
2022-01-23T11:14:20.140Z,53.1207,-166.6626,25.56,2.7,ml,,225,0.686,0.37,us,us7000gkkc,2022-04-09T20:18:53.040Z,"84 km S of Unalaska, Alaska",earthquake,6.4,17.5,0.105,12,reviewed,us,us
2022-01-23T08:15:12.355Z,54.2254,-162.4621,24.25,2.5,ml,,218,0.751,0.59,us,us7000gkk9,2022-04-09T20:18:53.040Z,"93 km SE of False Pass, Alaska",earthquake,2.8,12.2,0.105,12,reviewed,us,us
2022-01-23T04:37:55.322Z,55.4873,-156.9492,6,3.1,ml,,,,0.6,ak,ak022123yrjg,2022-04-09T20:18:52.040Z,"127 km SE of Chignik, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2022-01-23T04:33:52.032Z,52.7342,-169.5116,10,2.8,ml,,202,0.249,0.7,us,us7000gkk7,2022-04-09T20:18:52.040Z,"49 km WSW of Nikolski, Alaska",earthquake,3.4,1.9,0.115,10,reviewed,us,us
2022-01-23T04:13:12.549Z,53.1758,-166.7105,26.95,2.8,ml,,210,0.627,0.47,us,us7000gkju,2022-04-09T20:18:52.040Z,"78 km S of Unalaska, Alaska",earthquake,5,18.1,0.115,10,reviewed,us,us
2022-01-23T03:55:59.638Z,52.5762,-168.0543,25.58,3,ml,,221,0.627,0.68,us,us7000gkjs,2022-04-09T20:18:52.040Z,"67 km SE of Nikolski, Alaska",earthquake,3.6,12.9,0.105,12,reviewed,us,us
2022-01-23T02:43:57.351Z,54.9016,-158.5596,18.6,2.9,ml,,214,0.599,0.5,us,us7000gkjr,2022-04-09T20:18:52.040Z,"118 km SSE of Perryville, Alaska",earthquake,4.3,8.6,0.081,20,reviewed,us,us
2022-01-23T01:53:36.274Z,52.3039,-164.4608,10,2.9,ml,,238,1.975,0.51,us,us7000gkk6,2022-04-09T20:18:52.040Z,"221 km SSE of Akutan, Alaska",earthquake,8.2,2,0.128,8,reviewed,us,us
2022-01-23T01:13:34.178Z,53.2059,-166.7231,28.62,2.5,ml,,216,0.596,0.32,us,us7000gkjq,2022-04-09T20:18:52.040Z,"75 km S of Unalaska, Alaska",earthquake,4,13.7,0.115,10,reviewed,us,us
2022-01-22T22:09:46.470Z,53.2037,-166.7214,35,3,ml,,209,0.598,0.54,us,us7000gliu,2022-04-09T20:18:51.040Z,"75 km S of Unalaska, Alaska",earthquake,4.5,2,0.097,14,reviewed,us,us
